Taxon,lon,lat,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Lactuca_quercina,10.92,51.36,82,82,32,6334,221,-33,254,163,8,163,1,569,73,31,26,196,104,196,104
Lactuca_quercina,11.08,51.36,85,82,32,6370,225,-31,256,166,3,166,3,537,71,28,28,190,94,190,94
Lactuca_quercina,11.92,51.36,90,82,32,6459,233,-22,255,173,16,173,8,496,63,28,29,179,87,179,89
Lactuca_quercina,11.25,51.36,89,83,32,6388,230,-27,257,171,7,171,7,500,69,25,32,183,84,183,84
Lactuca_quercina,11.75,51.36,85,81,31,6377,227,-27,254,168,12,168,5,533,69,30,28,190,97,190,97
Lactuca_quercina,12.25,51.36,90,81,31,6585,234,-24,258,175,15,175,6,507,61,29,25,176,92,176,96
Lactuca_quercina,12.08,51.36,91,82,31,6530,235,-22,257,175,17,175,8,493,62,27,28,177,86,177,89
Lactuca_quercina,10.42,51.46,75,81,32,6247,209,-39,248,154,2,154,-6,775,87,53,16,239,164,239,177
Lactuca_quercina,10.92,51.46,84,82,32,6346,222,-31,253,165,10,165,3,565,73,32,25,194,105,194,105
Lactuca_quercina,10.75,51.46,83,82,32,6318,221,-31,252,164,10,164,2,595,75,35,23,200,113,200,116
Lactuca_quercina,11.08,51.46,83,81,32,6336,222,-31,253,164,9,164,2,567,73,31,25,195,105,195,105
Lactuca_quercina,11.58,51.46,83,80,31,6357,224,-29,253,165,10,165,3,548,70,31,27,193,102,193,102
Lactuca_quercina,11.25,51.46,83,81,32,6317,222,-31,253,164,2,164,2,556,72,30,26,194,102,194,102
Lactuca_quercina,11.42,51.46,82,80,31,6334,222,-31,253,164,2,164,2,562,72,31,26,196,104,196,104
Lactuca_quercina,11.75,51.46,90,82,32,6407,233,-22,255,173,17,173,9,489,64,27,30,178,86,178,86
Lactuca_quercina,11.92,51.46,91,82,32,6492,235,-21,256,175,17,175,9,476,61,27,31,175,82,175,84
Lactuca_quercina,10.92,51.56,74,78,31,6289,209,-38,247,154,1,154,-6,694,81,43,18,220,144,220,147
Lactuca_quercina,11.75,51.56,86,81,32,6389,227,-26,253,168,13,168,5,521,66,30,28,185,95,185,96
Lactuca_quercina,11.42,51.56,80,79,31,6332,219,-32,251,162,7,162,0,583,73,33,25,200,112,200,112
Lactuca_quercina,11.25,51.56,76,79,31,6301,214,-35,249,157,3,157,-3,629,77,37,22,209,125,209,126
Lactuca_quercina,11.58,51.56,85,80,31,6371,226,-27,253,167,12,167,4,533,68,30,27,188,99,188,99
Lactuca_quercina,11.92,51.56,89,81,31,6478,232,-23,255,173,15,173,7,491,62,28,30,178,86,178,89
Lactuca_quercina,11.25,51.66,75,78,31,6301,213,-36,249,156,2,156,-4,643,77,39,20,210,131,210,132
Lactuca_quercina,11.75,51.66,88,81,32,6430,230,-23,253,171,15,171,6,503,64,29,28,179,92,179,93
Lactuca_quercina,11.92,51.66,91,81,31,6516,234,-22,256,175,16,175,8,484,61,28,29,174,86,174,89
Lactuca_quercina,11.08,51.66,73,77,31,6271,208,-38,246,153,0,153,-7,696,81,43,18,220,146,220,148
Lactuca_quercina,11.58,51.66,84,80,31,6367,225,-27,252,166,11,166,3,537,68,31,26,187,101,187,101
Lactuca_quercina,10.92,51.76,75,77,31,6268,210,-36,246,155,2,155,-4,698,81,44,17,219,149,219,151
Lactuca_quercina,11.58,51.76,89,81,32,6439,230,-23,253,172,16,172,7,499,64,29,27,175,93,175,93
Lactuca_quercina,11.08,51.76,86,80,31,6324,225,-26,251,168,6,168,6,547,70,31,25,186,104,186,104
Lactuca_quercina,11.92,51.76,91,81,31,6550,234,-22,256,176,17,176,8,487,61,28,27,172,89,172,91
Lactuca_quercina,11.75,51.76,91,81,31,6482,233,-21,254,175,17,175,9,483,61,28,27,171,88,171,89
Lactuca_quercina,12.08,51.76,91,81,31,6587,234,-23,257,176,16,176,7,491,60,29,26,172,90,172,94
Lactuca_quercina,10.92,51.86,85,80,32,6289,223,-27,250,166,5,166,5,577,73,33,23,193,113,193,113
Lactuca_quercina,11.42,51.86,85,80,31,6405,225,-26,251,168,12,168,4,537,67,32,24,182,105,182,105
Lactuca_quercina,11.08,51.86,87,80,31,6323,226,-25,251,169,7,169,7,542,69,31,24,184,104,184,104
Lactuca_quercina,11.58,51.86,91,81,31,6461,232,-22,254,174,17,174,9,488,62,29,26,170,92,170,92
Lactuca_quercina,11.25,51.86,89,80,31,6384,228,-23,251,171,7,171,7,521,67,30,25,179,99,179,99
Lactuca_quercina,12.25,51.86,92,81,31,6600,235,-23,258,176,16,176,7,501,61,29,25,173,92,173,97
Lactuca_quercina,11.42,51.96,90,81,32,6441,231,-22,253,173,16,173,8,504,63,30,24,171,98,171,98
Lactuca_quercina,11.08,51.96,86,80,32,6323,225,-25,250,168,13,168,6,559,70,33,23,186,111,186,111
Lactuca_quercina,11.92,51.96,91,81,31,6552,234,-22,256,176,17,176,8,491,60,29,25,169,92,169,96
Lactuca_quercina,11.58,51.96,89,80,31,6477,230,-23,253,173,15,173,7,502,62,31,24,170,98,170,99
Lactuca_quercina,12.08,52.06,89,80,31,6571,231,-25,256,173,14,173,5,517,62,31,23,174,99,174,104
Lactuca_quercina,11.636666,52.123055,90,81,31,6505,232,-22,254,175,17,175,8,493,60,30,22,165,97,165,99
Lactuca_quercina,11.92,52.26,90,80,31,6577,232,-24,256,175,15,175,6,512,61,31,22,171,100,171,105
Lactuca_quercina,17.9664,57.2804,75,56,23,6425,205,-30,235,154,16,160,-2,492,54,28,24,154,86,131,102
Lactuca_quercina,17.9662,57.2811,75,56,23,6425,205,-30,235,154,16,160,-2,492,54,28,24,154,86,131,102
Lactuca_quercina,17.9647,57.282,75,56,23,6425,205,-30,235,154,16,160,-2,492,54,28,24,154,86,131,102
Lactuca_quercina,17.9667,57.2833,75,56,23,6425,205,-30,235,154,16,160,-2,492,54,28,24,154,86,131,102
Lactuca_quercina,17.96917,57.28417,75,56,23,6425,205,-30,235,154,16,160,-2,492,54,28,24,154,86,131,102
Lactuca_quercina,18.0726,57.3104,75,55,23,6409,205,-29,234,154,17,160,-2,497,54,28,24,154,87,131,105
Lactuca_quercina,18.0722,57.3104,75,55,23,6409,205,-29,234,154,17,160,-2,497,54,28,24,154,87,131,105
Lactuca_quercina,18.0716,57.3107,75,55,23,6409,205,-29,234,154,17,160,-2,497,54,28,24,154,87,131,105
Lactuca_quercina,18.073,57.3107,75,55,23,6409,205,-29,234,154,17,160,-2,497,54,28,24,154,87,131,105
Lactuca_quercina,18.0553,57.3109,75,55,23,6409,205,-29,234,154,17,160,-2,497,54,28,24,154,87,131,105
Lactuca_quercina,18.0641,57.3126,75,55,23,6409,205,-29,234,154,17,160,-2,497,54,28,24,154,87,131,105
Lactuca_quercina,11.9555,57.6803,74,65,26,6589,203,-42,245,125,18,159,-9,765,86,42,25,245,129,206,180
Lactuca_quercina,11.9563,57.6811,74,65,26,6589,203,-42,245,125,18,159,-9,765,86,42,25,245,129,206,180
Lactuca_quercina,105.319,61.524,-81,134,21,17080,232,-383,615,134,-265,134,-305,373,57,12,46,158,42,158,51
