Taxon,lon,lat,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Lactuca_altaica,71.83,35.28,90,95,29,7934,254,-65,319,30,105,191,-15,846,138,27,51,371,102,166,220
Lactuca_altaica,72,37.67,-9,98,25,9270,181,-199,380,-17,101,105,-134,503,82,7,59,226,31,48,159
Lactuca_altaica,45.25,41.7667,98,106,32,7754,268,-55,323,136,-3,196,-3,762,119,26,45,312,92,262,92
Lactuca_altaica,45.25,41.783,98,106,32,7754,268,-55,323,136,-3,196,-3,762,119,26,45,312,92,262,92
Lactuca_altaica,85.97,49.06,-21,109,25,11554,196,-228,424,123,-154,123,-171,450,76,12,55,198,39,198,44
