Taxon,lon,lat,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Lactuca_orientalis,66.3,34.5,18,163,35,9239,239,-223,462,-39,119,130,-110,313,71,0,82,171,0,5,108
Lactuca_orientalis,69.42,34.5,109,134,34,8609,299,-87,386,52,173,216,-9,479,111,4,90,288,24,27,163
Lactuca_orientalis,72,34.5,211,142,38,7983,396,24,372,294,160,307,103,712,146,14,66,298,73,268,179
Lactuca_orientalis,75.93,34.5,25,87,21,10930,224,-173,397,-62,-16,156,-121,346,65,8,55,150,41,56,104
Lactuca_orientalis,76.63,34.51,39,110,27,10223,239,-164,403,-87,63,163,-99,170,33,4,55,78,21,27,57
Lactuca_orientalis,76.64,34.51,39,110,27,10223,239,-164,403,-87,63,163,-99,170,33,4,55,78,21,27,57
Lactuca_orientalis,76.66,34.52,39,110,27,10223,239,-164,403,-87,63,163,-99,170,33,4,55,78,21,27,57
Lactuca_orientalis,76.65,34.52,39,110,27,10223,239,-164,403,-87,63,163,-99,170,33,4,55,78,21,27,57
Lactuca_orientalis,76,34.53,25,90,22,10859,224,-175,399,-113,-17,154,-121,308,59,7,56,135,36,49,94
Lactuca_orientalis,76.67,34.53,2,108,27,9917,200,-195,395,-120,-41,123,-131,119,17,3,45,41,15,27,31
Lactuca_orientalis,76.68,34.53,2,108,27,9917,200,-195,395,-120,-41,123,-131,119,17,3,45,41,15,27,31
Lactuca_orientalis,76.1,34.57,33,95,23,10880,235,-170,405,-104,62,163,-113,269,55,6,60,125,31,39,87
Lactuca_orientalis,68.72,34.6,35,120,32,8169,212,-156,368,-18,128,136,-78,586,128,1,92,350,8,11,219
Lactuca_orientalis,76.49,34.62,28,105,25,10381,228,-176,404,-102,-17,153,-112,172,33,4,53,76,22,28,55
Lactuca_orientalis,66.97,34.63,14,152,33,9508,228,-220,448,-48,118,130,-118,332,78,0,84,186,4,6,119
Lactuca_orientalis,61.03,34.68,174,154,40,8421,375,-8,383,85,285,285,66,221,50,0,96,131,0,0,108
Lactuca_orientalis,67.25,34.75,10,145,33,9145,215,-214,429,-49,110,122,-117,345,77,0,81,188,5,8,128
Lactuca_orientalis,70.83,34.75,129,107,32,7988,295,-33,328,71,140,231,24,856,161,26,63,425,91,137,226
Lactuca_orientalis,67.85,34.77,50,142,36,8438,241,-152,393,-4,143,153,-67,203,36,0,76,99,2,6,90
Lactuca_orientalis,72.37,34.78,191,129,37,7618,366,21,345,272,146,284,88,912,136,23,52,333,100,300,231
Lactuca_orientalis,67.25,34.8,20,147,34,9161,226,-203,429,-39,121,132,-106,306,69,0,81,166,4,6,114
Lactuca_orientalis,67.18,34.82,23,148,34,9202,230,-202,432,-36,124,136,-104,298,67,0,81,161,4,6,111
Lactuca_orientalis,67.27,34.82,15,145,34,9041,218,-206,424,-43,114,126,-110,326,72,0,79,176,4,8,121
Lactuca_orientalis,68.33,34.92,35,123,33,7970,212,-154,366,-17,125,134,-74,455,99,0,88,260,4,8,176
Lactuca_orientalis,69.6,35.12,68,101,30,7751,232,-98,330,13,159,167,-36,853,204,6,94,528,25,26,286
Lactuca_orientalis,75.03,35.15,17,89,24,9771,204,-164,368,3,-23,136,-114,370,55,9,47,155,41,83,81
Lactuca_orientalis,75.62,35.2,37,99,24,10450,238,-160,398,25,-9,164,-104,241,41,5,51,106,27,42,64
Lactuca_orientalis,75.63,35.23,29,100,25,10326,229,-167,396,17,-16,155,-110,211,35,5,50,91,25,37,56
Lactuca_orientalis,69.5,35.25,74,99,30,7799,238,-91,329,19,166,174,-30,823,203,3,97,517,17,18,279
Lactuca_orientalis,71,35.25,89,98,30,7929,254,-70,324,29,102,190,-16,894,175,24,69,461,93,106,257
Lactuca_orientalis,74.85,35.3,72,103,29,8924,253,-101,354,63,30,184,-47,429,71,10,54,199,48,81,94
Lactuca_orientalis,75.62,35.3,104,122,30,9566,303,-91,394,103,115,222,-26,204,35,4,55,94,24,27,59
Lactuca_orientalis,72.58,35.33,54,88,27,7986,215,-102,317,43,20,154,-53,709,103,20,42,273,87,179,166
Lactuca_orientalis,74.85,35.37,78,104,29,8807,258,-94,352,69,35,188,-40,419,70,10,56,198,48,75,92
Lactuca_orientalis,69,35.4,0,91,28,7074,152,-168,320,-49,83,90,-94,1070,256,2,96,653,10,18,368
Lactuca_orientalis,69.02,35.4,8,90,28,6983,159,-156,315,-40,91,98,-84,1102,270,1,99,685,8,14,382
Lactuca_orientalis,75.73,35.42,91,119,29,9876,295,-108,403,89,105,213,-43,162,29,3,57,75,18,22,47
Lactuca_orientalis,75.73,35.43,91,119,29,9876,295,-108,403,89,105,213,-43,162,29,3,57,75,18,22,47
Lactuca_orientalis,69.78,35.5,60,94,29,7597,220,-101,321,4,150,157,-41,943,226,6,94,575,25,28,312
Lactuca_orientalis,74.7,35.53,53,98,27,9121,236,-122,358,43,11,166,-69,338,54,8,50,152,37,72,69
Lactuca_orientalis,71.8,35.55,159,112,32,8578,341,-6,347,96,172,269,46,687,130,19,63,338,87,88,185
Lactuca_orientalis,74.65,35.6,149,117,33,8328,329,-21,350,148,53,254,37,240,43,5,60,122,27,45,42
Lactuca_orientalis,68.33,35.62,58,117,33,7783,233,-119,352,7,148,156,-47,494,114,0,90,289,3,5,184
Lactuca_orientalis,71.33,35.67,46,91,27,7995,211,-116,327,-15,109,147,-61,811,155,21,67,406,82,89,239
Lactuca_orientalis,71.35,35.67,88,100,30,8138,260,-73,333,28,152,192,-19,743,147,21,70,381,77,79,214
Lactuca_orientalis,71.38,35.67,47,92,28,8022,213,-115,328,-14,111,148,-60,792,150,22,65,392,83,91,231
Lactuca_orientalis,70.08,35.68,30,90,28,7496,189,-130,319,-25,120,127,-68,1033,234,9,88,602,35,41,337
Lactuca_orientalis,71.63,35.68,88,99,29,8148,259,-73,332,28,104,192,-20,697,131,23,63,340,79,90,195
Lactuca_orientalis,69,35.75,92,105,30,8029,266,-75,341,38,187,196,-15,616,154,0,97,385,4,6,215
Lactuca_orientalis,72.02,35.78,68,95,28,8229,237,-95,332,57,84,171,-42,615,109,20,56,281,72,97,165
Lactuca_orientalis,71.78,35.85,139,111,33,8051,314,-20,334,81,241,241,32,490,108,13,78,266,40,40,133
Lactuca_orientalis,74.22,35.85,2,90,24,9295,185,-176,361,-10,-38,117,-123,267,41,6,46,112,30,65,54
Lactuca_orientalis,75.32,35.87,24,102,26,9949,222,-170,392,14,-23,146,-110,151,24,3,51,68,16,31,32
Lactuca_orientalis,70.42,35.88,13,88,27,7693,174,-150,324,-44,105,111,-88,998,211,12,81,548,47,56,318
Lactuca_orientalis,74.3,35.9,99,105,29,8765,283,-74,357,93,51,210,-18,219,40,4,57,105,23,48,38
Lactuca_orientalis,71.77,35.92,84,100,29,8285,257,-81,338,23,180,188,-27,583,112,19,65,286,66,67,165
Lactuca_orientalis,71.3,35.92,-4,86,26,8053,160,-170,330,-66,91,97,-111,833,156,19,67,408,76,85,249
Lactuca_orientalis,74.3,35.92,132,110,30,8604,316,-39,355,129,80,241,17,188,38,3,63,94,19,40,30
Lactuca_orientalis,71.02,35.95,-50,81,24,7918,110,-216,326,-63,44,49,-155,961,178,19,67,472,80,93,291
Lactuca_orientalis,71.249855,35.95,-6,86,26,8016,158,-171,329,-67,89,95,-112,856,162,18,68,423,74,84,258
Lactuca_orientalis,71.22,35.97,0,87,26,8041,165,-166,331,-61,95,101,-107,841,160,17,68,419,70,80,255
Lactuca_orientalis,67.67,36,66,128,34,8117,255,-119,374,15,159,169,-43,367,80,0,85,203,2,4,139
Lactuca_orientalis,69.67,36.02,96,104,30,8085,273,-68,341,40,193,202,-10,742,181,2,96,454,11,14,243
Lactuca_orientalis,71.77,36.02,118,108,31,8238,295,-46,341,58,213,222,7,479,102,12,75,253,39,40,133
Lactuca_orientalis,72.12,36.25,61,98,28,8561,238,-110,348,51,77,168,-54,455,84,15,61,218,52,57,128
Lactuca_orientalis,72.25,36.25,79,102,29,8583,258,-92,350,71,94,187,-36,392,74,12,61,190,45,50,107
Lactuca_orientalis,74.68,36.27,44,103,27,9535,238,-143,381,37,-4,163,-85,146,26,3,52,68,15,32,27
Lactuca_orientalis,73.13,36.35,-13,89,25,9009,166,-190,356,-25,6,98,-134,341,55,11,47,149,43,64,85
Lactuca_orientalis,73.33,36.4,71,103,28,9058,259,-108,367,64,26,185,-51,174,32,3,55,80,20,37,36
Lactuca_orientalis,69.5,36.5,127,123,33,8532,325,-46,371,72,227,239,15,551,127,1,93,327,5,7,180
Lactuca_orientalis,73.9,36.5,40,100,26,9315,230,-144,374,32,-6,156,-86,154,27,3,52,69,18,35,30
Lactuca_orientalis,73.9,36.52,69,105,27,9284,261,-115,376,63,20,186,-56,127,26,2,59,60,14,29,22
Lactuca_orientalis,73.68,36.55,12,96,25,9327,200,-172,372,3,29,128,-114,189,30,5,48,83,25,40,41
Lactuca_orientalis,73.43,36.65,62,104,27,9265,253,-122,375,56,76,178,-63,137,27,2,57,65,16,28,28
Lactuca_orientalis,73.42,36.7,7,95,25,9314,194,-177,371,-2,24,122,-119,208,34,6,47,92,26,40,50
Lactuca_orientalis,72,36.75,9,94,26,8778,189,-169,358,-1,113,118,-109,501,88,11,63,239,41,51,152
Lactuca_orientalis,73.42,36.93,26,99,26,9445,217,-162,379,18,42,143,-102,147,25,3,49,66,17,29,35
Lactuca_orientalis,72.93,36.95,22,98,26,9274,211,-163,374,14,39,137,-103,220,37,7,53,101,26,33,60
Lactuca_orientalis,73.33,37.03,-14,94,25,9376,174,-201,375,-23,4,101,-141,229,36,8,47,101,29,40,59
Lactuca_orientalis,72.87,37.2,-20,93,24,9293,167,-206,373,-30,90,94,-146,316,49,10,51,141,36,45,89
Lactuca_orientalis,71.75,37.32,41,105,27,9273,234,-150,384,34,151,155,-85,396,70,3,67,191,16,27,131
Lactuca_orientalis,72.52,37.33,-10,95,25,9276,178,-197,375,-19,100,104,-135,357,56,9,55,160,32,43,107
Lactuca_orientalis,72.43,37.35,9,99,26,9318,199,-180,379,1,119,124,-117,309,50,6,58,142,24,34,94
Lactuca_orientalis,72,37.67,-9,98,25,9270,181,-199,380,-17,101,105,-134,503,82,7,59,226,31,48,159
Lactuca_orientalis,71.85,38.03,56,113,28,9676,259,-144,403,54,169,174,-76,286,50,1,64,129,10,22,98
Lactuca_orientalis,73.5,38.17,-19,101,25,9839,179,-218,397,-24,-2,101,-153,180,27,7,36,70,25,40,45
Lactuca_orientalis,71.1,38.42,68,119,29,9417,273,-126,399,66,178,184,-60,533,95,3,65,245,18,37,176
Lactuca_orientalis,70.8,38.55,46,114,29,9214,248,-143,391,43,154,161,-78,697,121,5,65,327,25,48,224
Lactuca_orientalis,72.7,38.72,-62,96,24,9608,133,-256,389,-69,52,56,-192,673,94,17,43,267,68,98,188
Lactuca_orientalis,35.2433,38.9637,85,132,38,7222,271,-72,343,79,171,174,-12,402,55,7,45,151,31,55,118
