Taxon,lon,lat,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Lactuca_dregeana,27.125,-30.375,142,154,51,4909,283,-14,297,193,74,199,74,678,104,14,54,288,53,274,53
Lactuca_dregeana,24.875,-29.875,177,164,50,5531,335,11,324,237,102,244,102,383,62,9,59,172,32,147,32
Lactuca_dregeana,24.875,-28.125,177,167,51,5374,323,-2,325,231,102,238,102,450,74,7,68,216,22,202,22
Lactuca_dregeana,28.375,-26.875,157,160,55,4553,275,-15,290,201,92,205,92,690,109,8,69,317,27,305,27
