Taxon,lon,lat,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Lactuca_tatarica,77.6,34.2,29,132,33,8875,223,-166,389,136,-18,139,-90,100,17,3,45,42,12,35,24
Lactuca_tatarica,77.61,34.22,-10,125,32,9089,185,-205,390,101,-56,103,-131,96,18,3,44,41,14,36,20
Lactuca_tatarica,68,34.25,42,143,34,9147,243,-173,416,-17,144,154,-85,281,54,0,81,153,4,6,118
Lactuca_tatarica,77.2,34.25,62,124,31,9247,253,-136,389,-50,15,174,-64,163,27,4,49,71,21,29,56
Lactuca_tatarica,66.52,34.28,19,162,34,9686,243,-225,468,-42,125,137,-116,316,72,0,85,179,1,4,115
Lactuca_tatarica,76.76,34.38,60,114,28,10002,257,-144,401,-63,82,181,-76,202,41,5,62,98,24,27,72
Lactuca_tatarica,76.74,34.42,45,112,27,10046,243,-158,401,-79,68,167,-91,178,34,4,57,82,23,27,61
Lactuca_tatarica,75.77,34.43,17,80,20,10976,213,-175,388,-72,-23,147,-130,421,72,11,49,175,49,76,117
Lactuca_tatarica,76.81,34.43,7,111,28,9739,203,-190,393,-113,-37,125,-124,116,16,3,42,40,15,27,32
Lactuca_tatarica,76.84,34.46,-34,108,27,9517,160,-226,386,82,-76,83,-160,73,10,2,37,28,11,20,17
Lactuca_tatarica,68.27,34.48,16,127,33,8428,200,-184,384,-39,111,120,-100,472,99,1,85,268,7,12,182
Lactuca_tatarica,76.67,34.48,39,111,27,10120,238,-164,402,-86,-6,161,-98,170,32,4,53,77,21,27,57
Lactuca_tatarica,69.42,34.5,109,134,34,8609,299,-87,386,52,173,216,-9,479,111,4,90,288,24,27,163
Lactuca_tatarica,76.65,34.52,39,110,27,10223,239,-164,403,-87,63,163,-99,170,33,4,55,78,21,27,57
Lactuca_tatarica,76.67,34.53,2,108,27,9917,200,-195,395,-120,-41,123,-131,119,17,3,45,41,15,27,31
Lactuca_tatarica,76.68,34.53,2,108,27,9917,200,-195,395,-120,-41,123,-131,119,17,3,45,41,15,27,31
Lactuca_tatarica,76.6,34.56,48,110,26,10359,250,-159,409,-80,72,173,-92,182,38,4,61,88,20,25,64
Lactuca_tatarica,76.1,34.57,33,95,23,10880,235,-170,405,-104,62,163,-113,269,55,6,60,125,31,39,87
